Crude_Blend,API_Gravity,Inlet_BSW,Inlet_Salt_PTB,Target_Risk_Class
Basrah Heavy,24.62,1.694,11.94,Medium
Ural,35.06,0.906,38.25,Low
Bonny Light,43.76,0.366,32.24,Low
Basrah Heavy,30.76,1.992,15.32,Medium
Basrah Heavy,24.66,1.679,31.47,High
Bonny Light,39.94,0.423,15.5,Low
Arab Light,33.03,1.179,29.54,Low
Basrah Heavy,25.91,1.784,17.25,High
Basrah Heavy,26.98,1.364,23.65,Medium
Ural,30.26,1.203,13.86,Medium
Ural,29.65,0.87,10.0,Low
Arab Light,35.76,0.903,16.86,Low
Bonny Light,41.47,0.332,17.88,Medium
Arab Light,32.86,0.97,22.36,Low
Basrah Heavy,21.37,1.419,30.2,High
Arab Light,32.92,1.488,15.33,High
Arab Light,33.32,1.771,41.49,High
Basrah Heavy,21.43,1.199,19.15,Medium
Basrah Heavy,29.35,1.281,11.59,Low
Arab Light,36.43,0.745,23.81,Low
Ural,33.48,1.199,18.03,Medium
Basrah Heavy,25.79,1.563,15.73,High
Arab Light,34.97,0.807,11.36,Low
Arab Light,36.85,0.83,14.94,Low
Arab Light,35.86,0.804,10.0,Low
Ural,27.63,2.43,43.5,Medium
Ural,31.79,0.854,20.44,Low
Ural,28.25,1.481,21.53,Low
Basrah Heavy,24.52,1.903,22.15,High
Arab Light,37.45,0.892,26.57,Low
Arab Light,32.39,0.981,33.44,Low
Basrah Heavy,25.65,2.453,20.11,High
Basrah Heavy,23.58,0.795,15.7,High
Basrah Heavy,28.49,0.912,19.2,Low
Arab Light,38.35,0.892,26.45,Low
Arab Light,33.94,0.727,20.87,Medium
Basrah Heavy,28.4,0.968,20.29,Low
Ural,28.64,1.128,17.78,Medium
Bonny Light,39.28,0.492,10.0,Low
Basrah Heavy,24.83,1.965,26.13,High
Bonny Light,37.45,1.05,15.38,Low
Basrah Heavy,25.4,1.584,13.3,High
Bonny Light,44.53,0.452,29.82,High
Bonny Light,43.06,0.25,10.72,Low
Basrah Heavy,28.82,1.352,25.82,Medium
Ural,32.93,1.69,21.06,Low
Bonny Light,40.03,0.845,10.0,Low
Bonny Light,41.8,0.805,22.02,Low
Bonny Light,43.64,0.3,30.08,Low
Arab Light,36.5,1.138,28.25,Low
Basrah Heavy,25.53,1.316,23.64,Medium
Ural,34.63,1.164,16.44,Low
Arab Light,34.21,1.538,23.68,Medium
Arab Light,29.67,0.956,22.94,Low
Arab Light,37.93,0.384,10.0,Low
Arab Light,37.14,1.498,27.31,Medium
Basrah Heavy,22.51,2.041,24.28,High
Ural,31.35,1.113,10.0,Low
Basrah Heavy,25.83,1.425,13.87,High
Ural,29.85,0.601,12.57,Low
Ural,28.14,1.464,21.95,Medium
Arab Light,34.69,0.782,10.0,Low
Arab Light,37.69,0.764,23.97,Low
Basrah Heavy,23.42,1.68,25.41,Medium
Bonny Light,37.72,0.229,10.0,Low
Ural,34.61,1.124,24.34,Low
Arab Light,34.01,1.052,15.15,Medium
Basrah Heavy,27.75,1.551,12.42,Medium
Basrah Heavy,29.88,1.172,24.65,Medium
Arab Light,35.55,0.902,24.07,Low
Bonny Light,43.2,0.422,13.43,Low
Ural,27.37,1.552,24.79,Low
Basrah Heavy,28.04,1.615,23.39,Medium
Bonny Light,37.35,0.852,21.61,Low
Arab Light,34.13,1.867,23.05,Medium
Bonny Light,36.6,0.636,10.0,Low
Basrah Heavy,27.16,1.248,12.55,Medium
Arab Light,36.02,1.549,16.04,Medium
Bonny Light,39.88,0.578,11.16,Low
Basrah Heavy,24.82,2.179,25.32,High
Ural,35.17,0.955,31.74,Low
Bonny Light,39.42,0.59,13.65,Low
Basrah Heavy,31.01,1.662,25.7,Medium
Basrah Heavy,21.49,2.141,25.6,Medium
Ural,29.94,0.728,15.87,Low
Basrah Heavy,23.9,1.734,26.19,Medium
Basrah Heavy,25.9,1.062,27.69,Medium
Arab Light,36.44,1.295,29.28,Low
Ural,31.97,2.061,16.15,Medium
Basrah Heavy,25.79,2.5,23.94,High
Basrah Heavy,24.3,1.82,21.52,High
Ural,30.98,1.003,25.96,Low
Arab Light,36.94,0.893,18.26,Low
Ural,34.41,0.691,12.84,Medium
Arab Light,35.03,2.09,17.7,Medium
Bonny Light,43.22,0.602,20.38,Low
Ural,32.35,1.214,29.46,Low
Basrah Heavy,26.66,2.063,19.32,High
Bonny Light,40.2,0.496,10.0,Low
Arab Light,33.65,0.684,13.84,Low
Basrah Heavy,22.14,0.804,15.07,Medium
Basrah Heavy,25.09,1.602,35.88,High
Ural,32.69,0.994,12.77,Medium
Basrah Heavy,30.45,1.455,15.45,Low
Basrah Heavy,30.51,1.215,13.28,Medium
Basrah Heavy,26.21,1.752,15.43,High
Arab Light,39.36,0.854,14.42,Low
Arab Light,37.84,0.444,19.7,Low
Arab Light,38.96,0.906,24.1,Low
Basrah Heavy,22.02,1.52,13.86,Medium
Basrah Heavy,22.97,2.027,34.72,High
Arab Light,29.63,1.809,24.12,High
Arab Light,34.93,1.328,10.0,Medium
Ural,32.84,1.109,24.05,Low
Basrah Heavy,23.39,1.772,33.28,High
Basrah Heavy,25.25,2.112,22.33,High
Basrah Heavy,23.02,0.998,17.13,Medium
Arab Light,34.35,0.69,12.76,Low
Arab Light,37.32,0.701,15.29,Low
Ural,27.05,0.897,14.32,Low
Arab Light,35.77,0.793,16.91,Low
Arab Light,36.41,0.742,10.0,Low
Arab Light,35.22,0.936,12.42,Low
Basrah Heavy,22.32,1.699,21.88,High
Arab Light,33.31,1.497,26.07,Low
Basrah Heavy,24.63,1.937,11.26,Medium
Arab Light,31.95,1.089,27.86,Low
Basrah Heavy,30.2,1.093,17.99,Medium
Ural,35.57,0.871,25.08,Low
Bonny Light,39.12,0.651,16.86,Low
Basrah Heavy,22.68,2.5,41.9,High
Arab Light,33.63,0.606,17.05,Low
Ural,31.79,0.815,10.0,Low
Basrah Heavy,29.36,0.881,21.37,Low
Ural,34.98,1.014,18.1,Low
Arab Light,34.2,1.054,12.99,Low
Bonny Light,41.53,0.412,13.19,Low
Bonny Light,44.44,0.435,15.75,Low
Basrah Heavy,25.63,1.731,24.95,High
Arab Light,35.38,1.246,10.05,Medium
Arab Light,34.79,1.425,34.77,Low
Basrah Heavy,29.33,0.609,20.56,Medium
Basrah Heavy,21.46,2.273,27.31,High
Bonny Light,43.42,0.244,10.0,Low
Basrah Heavy,25.2,1.69,35.94,Medium
Arab Light,38.76,0.664,15.81,Low
Ural,28.39,1.33,10.96,Medium
Basrah Heavy,27.58,0.916,30.06,Medium
Arab Light,35.69,1.259,15.78,Low
Bonny Light,37.13,0.5,10.0,Low
Arab Light,31.08,1.525,23.33,Low
Basrah Heavy,27.67,0.842,10.9,Low
Basrah Heavy,26.79,1.438,19.59,High
Bonny Light,41.24,0.983,20.11,Low
Basrah Heavy,24.42,2.5,12.61,Medium
Arab Light,36.87,0.455,13.06,Low
Basrah Heavy,30.5,0.945,27.24,Low
Arab Light,36.31,0.698,10.0,Low
Bonny Light,39.67,1.372,10.0,Low
Arab Light,35.96,0.84,22.91,Low
Bonny Light,38.97,0.973,17.2,Low
Basrah Heavy,26.16,1.652,26.82,High
Arab Light,34.66,0.62,10.53,Low
Bonny Light,38.32,0.37,13.11,Low
Arab Light,34.67,0.761,29.05,Low
Basrah Heavy,27.33,2.5,33.92,High
Bonny Light,43.21,0.434,10.0,Low
Arab Light,34.3,1.398,29.85,Low
Arab Light,37.49,0.464,11.61,Low
Bonny Light,41.96,0.425,10.0,Low
Basrah Heavy,29.09,1.707,16.82,Low
Basrah Heavy,25.58,1.04,10.28,Medium
Basrah Heavy,29.38,1.253,18.02,Medium
Arab Light,32.77,0.782,25.22,Low
Basrah Heavy,24.15,2.158,33.25,High
Ural,27.71,1.596,17.27,Medium
Basrah Heavy,28.05,1.735,26.73,Medium
Ural,27.97,1.86,20.29,High
Basrah Heavy,20.0,1.737,20.74,High
Arab Light,35.24,1.288,21.8,Medium
Basrah Heavy,30.5,0.984,10.0,Low
Ural,32.87,1.317,17.88,Low
Arab Light,35.26,0.454,10.63,Low
Arab Light,34.84,0.718,10.0,Medium
Bonny Light,40.31,1.309,23.04,Low
Arab Light,35.91,1.069,21.09,Medium
Basrah Heavy,21.55,2.207,19.97,High
Bonny Light,39.35,0.482,10.0,Low
Basrah Heavy,24.59,1.082,17.03,High
Basrah Heavy,31.2,1.062,11.46,Low
Arab Light,37.62,0.737,11.61,Low
Basrah Heavy,23.51,2.5,12.27,High
Basrah Heavy,29.45,1.824,22.12,Low
Ural,36.19,0.879,13.11,Low
Basrah Heavy,23.82,1.675,14.18,High
Ural,33.8,1.302,25.64,Low
Bonny Light,44.55,0.196,10.0,Low
Arab Light,32.67,0.547,13.32,Low
Ural,33.43,1.326,25.3,Medium
Ural,29.37,1.315,23.67,Medium
Bonny Light,44.17,0.212,10.0,Low
Basrah Heavy,23.86,0.785,15.77,High
Basrah Heavy,25.05,2.131,20.72,High
Arab Light,32.52,0.9,25.2,Low
Arab Light,32.35,1.255,35.69,Low
Basrah Heavy,25.94,1.369,30.51,Medium
Arab Light,30.49,1.196,24.54,Low
Basrah Heavy,24.78,1.281,18.34,High
Bonny Light,41.71,0.48,19.35,Low
Basrah Heavy,24.19,1.974,13.48,High
Basrah Heavy,27.14,1.293,14.62,High
Basrah Heavy,23.96,1.449,24.39,High
Basrah Heavy,24.56,1.966,23.12,High
Basrah Heavy,28.14,1.723,15.31,High
Basrah Heavy,29.88,0.839,18.99,Low
Basrah Heavy,28.06,1.352,32.66,Medium
Basrah Heavy,23.09,1.402,31.92,Medium
Arab Light,34.58,0.953,11.94,Low
Arab Light,34.47,1.579,36.63,Medium
Basrah Heavy,27.38,1.598,18.31,High
Basrah Heavy,23.28,2.5,30.3,High
Basrah Heavy,21.45,1.931,33.01,High
Basrah Heavy,21.37,1.692,10.0,High
Basrah Heavy,23.45,1.649,22.8,High
Ural,33.19,1.091,11.54,Medium
Bonny Light,38.39,0.789,12.39,Low
Bonny Light,37.41,0.542,21.62,Low
Arab Light,35.28,0.833,11.95,Low
Arab Light,36.32,0.65,12.99,Low
Basrah Heavy,24.92,2.246,26.78,Medium
Ural,30.53,0.616,19.01,Low
Ural,32.81,1.122,25.72,Low
Ural,29.79,0.738,16.64,Low
Bonny Light,42.29,0.53,10.0,Low
Arab Light,32.56,0.937,17.71,Low
Ural,28.47,0.709,11.23,Medium
Ural,30.57,1.676,38.49,Medium
Basrah Heavy,28.7,0.549,12.13,Low
Bonny Light,39.25,0.643,24.36,Low
Basrah Heavy,23.71,2.094,36.06,High
Bonny Light,40.94,0.877,17.89,Low
Ural,31.74,0.643,16.93,Low
Basrah Heavy,27.1,1.191,21.67,Medium
Ural,36.63,1.195,23.46,Low
Basrah Heavy,21.22,2.5,21.14,High
Ural,26.88,2.256,48.66,Medium
Ural,31.17,2.5,30.62,Medium
Arab Light,34.65,0.79,28.25,Low
Bonny Light,39.43,0.727,15.94,Low
Basrah Heavy,28.17,1.204,20.51,Medium
Basrah Heavy,23.74,0.823,11.14,Medium
Arab Light,35.4,0.868,12.38,Medium
Basrah Heavy,24.6,0.79,10.0,Medium
Arab Light,37.34,0.643,34.55,Low
Basrah Heavy,24.75,0.944,27.19,Medium
Arab Light,32.28,1.278,14.85,Medium
Arab Light,34.32,0.735,15.2,Low
Bonny Light,39.0,0.357,16.36,Low
Basrah Heavy,25.77,2.047,18.01,Medium
Bonny Light,38.5,0.565,10.0,Low
Arab Light,30.29,1.051,16.83,Medium
Basrah Heavy,26.12,1.058,31.25,Medium
Arab Light,30.84,1.776,18.72,Medium
Arab Light,31.83,1.236,24.21,Medium
Basrah Heavy,22.33,1.398,38.7,Medium
Arab Light,34.33,0.494,23.73,Low
Basrah Heavy,24.72,2.5,20.91,High
Arab Light,32.2,2.201,23.57,Medium
Arab Light,31.83,1.863,23.67,Medium
Arab Light,32.62,0.84,10.29,Low
Ural,34.45,0.803,10.0,Low
Basrah Heavy,23.62,1.898,33.05,Medium
Bonny Light,38.31,0.519,10.0,Low
Ural,30.15,0.871,11.47,Low
Bonny Light,37.73,1.245,22.0,Low
Ural,34.69,0.924,16.39,Low
Basrah Heavy,22.06,1.182,12.96,Medium
Arab Light,35.14,1.274,34.37,Low
Basrah Heavy,25.1,1.272,12.24,Medium
Ural,36.33,0.419,19.17,Low
Arab Light,37.98,0.492,17.09,Low
Basrah Heavy,26.91,1.201,23.75,Low
Bonny Light,39.18,0.707,10.0,Low
Basrah Heavy,20.63,1.955,24.52,High
Arab Light,36.14,1.305,21.67,Medium
Ural,30.78,1.097,21.19,Low
Basrah Heavy,23.62,1.402,19.02,High
Arab Light,31.47,1.774,28.73,Medium
Ural,35.02,1.297,18.55,Low
Basrah Heavy,21.42,1.661,16.53,High
Arab Light,30.66,1.328,14.22,Medium
Basrah Heavy,29.18,1.096,21.62,Low
Ural,31.31,0.771,10.0,Medium
Basrah Heavy,22.22,2.5,35.4,Medium
Bonny Light,37.86,0.611,10.0,Low
Bonny Light,37.71,0.83,10.0,Low
Basrah Heavy,24.07,0.954,36.75,Medium
Basrah Heavy,25.22,2.002,37.42,High
Arab Light,28.5,0.877,16.85,Low
Ural,31.96,2.008,21.74,Medium
Arab Light,35.68,1.648,28.62,Low
Basrah Heavy,28.84,1.604,44.56,Medium
Basrah Heavy,21.56,1.854,21.27,High
Bonny Light,37.37,0.721,34.54,Low
Arab Light,31.65,1.117,14.39,Low
Bonny Light,43.36,0.447,10.0,Low
Arab Light,36.51,0.852,16.2,Low
Bonny Light,41.9,0.677,10.0,Low
Basrah Heavy,29.91,0.904,21.91,Low
Basrah Heavy,27.82,2.358,19.8,Low
Bonny Light,36.98,0.686,18.54,Low
Bonny Light,43.12,0.31,19.17,Low
Basrah Heavy,24.87,1.782,40.43,High
Arab Light,38.85,0.784,10.0,Low
Arab Light,39.13,0.358,10.0,Low
Arab Light,35.49,0.752,12.48,Low
Basrah Heavy,26.69,0.68,19.05,Medium
Bonny Light,45.0,0.223,10.0,Low
Basrah Heavy,24.89,1.257,12.41,Medium
Ural,30.08,1.372,16.43,Low
Basrah Heavy,22.44,1.309,21.49,High
Basrah Heavy,25.17,1.279,16.44,High
Ural,34.04,1.552,36.65,Low
Basrah Heavy,26.08,2.5,32.75,Medium
Ural,34.05,0.712,10.0,Medium
Basrah Heavy,27.34,2.017,25.26,High
Bonny Light,40.2,0.675,19.61,Low
Ural,33.26,0.562,15.67,Low
Bonny Light,40.93,0.411,10.0,Low
Basrah Heavy,30.1,0.428,10.64,Low
Basrah Heavy,22.7,1.913,24.18,High
Arab Light,36.42,0.57,22.73,Low
Arab Light,31.99,1.168,24.07,Low
Basrah Heavy,26.76,2.5,19.48,Medium
Basrah Heavy,26.38,2.5,43.28,Medium
Arab Light,36.96,0.609,33.74,Low
Basrah Heavy,21.93,1.235,16.3,Medium
Arab Light,34.26,1.524,25.66,Low
Basrah Heavy,22.69,1.202,48.61,High
Basrah Heavy,20.0,2.5,29.66,High
Arab Light,30.08,2.5,31.33,Medium
Arab Light,34.6,1.2,25.07,Medium
Basrah Heavy,21.83,2.5,41.64,High
Arab Light,37.03,1.151,10.0,Medium
Ural,34.1,0.806,15.28,Low
Arab Light,32.77,1.178,31.27,Low
Arab Light,34.84,0.667,20.94,Low
Bonny Light,42.76,0.668,17.47,Medium
Arab Light,35.43,0.612,15.52,Low
Bonny Light,39.79,0.787,27.56,Medium
Ural,32.17,1.639,27.8,Medium
Basrah Heavy,24.14,1.361,37.55,Low
Arab Light,31.25,0.903,15.12,Low
Ural,35.78,0.822,10.0,Low
Bonny Light,44.07,0.25,21.55,Low
Arab Light,30.71,1.263,17.38,Medium
Basrah Heavy,20.93,1.322,20.45,High
Arab Light,35.61,0.657,16.47,Low
Basrah Heavy,28.96,1.584,18.4,High
Ural,28.78,1.638,13.97,Medium
Arab Light,32.6,0.97,26.56,Low
Ural,29.81,0.705,10.0,Low
Bonny Light,44.64,0.46,38.81,Low
Arab Light,36.06,0.73,15.6,Low
Arab Light,35.22,1.868,11.37,Medium
Ural,30.93,1.129,29.64,Low
Ural,32.45,1.138,10.0,High
Bonny Light,42.29,0.392,10.0,Low
Basrah Heavy,20.15,2.038,44.07,High
Arab Light,35.28,2.5,34.08,Medium
Basrah Heavy,22.96,1.497,24.42,Medium
Bonny Light,43.65,0.576,17.83,Low
Arab Light,31.93,1.154,12.46,Medium
Arab Light,31.2,1.757,10.0,Medium
Basrah Heavy,22.46,0.877,20.97,Medium
Basrah Heavy,23.55,2.5,33.18,High
Ural,31.43,1.296,18.93,Medium
Basrah Heavy,25.24,1.408,35.05,High
Basrah Heavy,25.34,2.112,34.12,High
Bonny Light,38.89,0.708,10.0,Low
Ural,31.63,0.761,12.57,Low
Basrah Heavy,26.74,0.621,10.07,Low
Basrah Heavy,28.0,2.5,23.45,Medium
Bonny Light,41.97,0.44,25.96,Low
Ural,32.67,0.864,13.41,Low
Arab Light,36.38,0.691,22.71,Low
Basrah Heavy,20.0,2.5,34.64,High
Basrah Heavy,25.87,1.268,11.77,Medium
Basrah Heavy,29.67,1.582,34.71,Medium
Ural,33.98,0.878,16.14,Low
Basrah Heavy,22.37,1.115,15.54,High
Basrah Heavy,22.9,2.325,18.5,Medium
Ural,31.68,1.668,17.11,Medium
Bonny Light,42.48,0.35,10.0,Low
Ural,30.4,1.2,10.0,Low
Arab Light,37.67,0.777,19.61,Low
Arab Light,36.14,0.992,10.63,Medium
Arab Light,37.61,1.505,22.69,Low
Basrah Heavy,23.91,1.456,32.39,Medium
Arab Light,37.24,0.694,21.37,Low
Arab Light,32.79,1.0,19.73,Low
Arab Light,37.97,0.526,10.0,Medium
Bonny Light,39.83,0.335,10.0,Low
Bonny Light,39.98,0.632,10.0,Low
Basrah Heavy,25.4,1.847,27.55,High
Arab Light,33.88,0.994,10.55,Low
Basrah Heavy,23.19,1.641,15.53,Medium
Arab Light,35.34,0.657,25.43,Low
Basrah Heavy,25.45,1.674,21.12,High
Basrah Heavy,24.12,1.717,12.79,High
Ural,31.05,1.387,23.95,Low
Arab Light,33.08,1.17,10.26,Low
Bonny Light,37.24,0.894,19.53,Medium
Basrah Heavy,27.71,2.202,24.25,High
Basrah Heavy,24.33,1.96,25.71,High
Arab Light,34.93,1.096,11.06,Medium
Basrah Heavy,29.86,0.68,11.23,Low
Basrah Heavy,21.97,2.5,25.21,High
Bonny Light,43.45,0.344,10.0,Low
Basrah Heavy,28.97,1.344,17.01,Low
Basrah Heavy,22.2,1.115,10.0,Medium
Arab Light,35.71,1.821,30.06,Medium
Arab Light,36.84,0.338,16.93,Low
Arab Light,33.33,1.732,20.63,Medium
Arab Light,36.72,0.942,14.27,Low
Ural,27.66,0.714,11.5,Low
Basrah Heavy,23.47,2.5,35.57,High
Arab Light,35.95,1.031,12.9,Medium
Ural,31.92,0.49,21.49,Low
Bonny Light,39.86,0.527,10.0,Low
Arab Light,38.4,0.849,24.54,Low
Arab Light,35.0,1.679,10.0,Medium
Basrah Heavy,26.16,1.289,16.04,Medium
Basrah Heavy,22.13,0.691,20.84,Medium
Basrah Heavy,26.04,2.491,37.25,High
Ural,34.79,1.113,10.0,Low
Basrah Heavy,23.67,0.754,18.83,High
Ural,27.2,1.602,24.99,Medium
Basrah Heavy,22.21,2.036,30.1,High
Bonny Light,43.32,0.348,42.98,High
Ural,29.91,0.934,47.22,Medium
Basrah Heavy,24.72,1.276,30.86,Low
Basrah Heavy,21.71,1.581,15.33,High
Basrah Heavy,23.71,1.861,20.34,High
Bonny Light,38.86,0.889,17.03,Medium
Basrah Heavy,24.2,0.76,11.68,Medium
Arab Light,38.77,0.744,10.0,Low
Arab Light,31.11,1.389,28.52,Low
Ural,36.64,0.867,10.0,Low
Arab Light,30.81,1.033,10.0,Low
Arab Light,37.61,1.241,24.74,Low
Bonny Light,40.58,0.904,21.54,Medium
Basrah Heavy,28.96,1.151,10.0,Medium
Ural,32.26,1.066,10.0,Low
Basrah Heavy,24.62,2.077,25.07,High
Arab Light,32.32,1.713,24.64,Medium
Bonny Light,42.07,0.353,10.0,Low
Ural,34.81,0.648,10.0,Medium
Ural,28.16,1.496,19.8,High
Basrah Heavy,28.52,0.902,21.08,Low
Arab Light,36.58,0.415,10.0,Low
Arab Light,38.05,0.545,13.33,Low
Arab Light,36.21,0.977,10.57,Low
Arab Light,36.39,1.435,45.01,Medium
Basrah Heavy,22.82,1.327,20.54,High
Basrah Heavy,29.03,1.248,33.06,High
Basrah Heavy,26.2,1.568,26.12,Medium
Arab Light,38.28,0.567,33.69,Low
Basrah Heavy,23.12,1.304,18.33,High
Bonny Light,35.91,0.971,16.54,Medium
Arab Light,33.21,0.681,12.0,Low
Basrah Heavy,22.36,1.323,14.04,High
Ural,35.08,0.854,10.0,Low
Ural,28.75,1.479,22.74,Medium
Basrah Heavy,25.46,0.901,24.1,Medium
Basrah Heavy,26.6,1.394,10.41,Medium
Basrah Heavy,21.13,1.151,16.61,High
Basrah Heavy,28.91,1.032,13.13,Low
Ural,35.25,1.194,32.16,Medium
Bonny Light,42.64,0.422,10.0,Low
Basrah Heavy,21.31,2.5,28.89,High
Ural,31.34,1.127,23.9,Low
Basrah Heavy,21.25,2.5,22.56,High
Arab Light,36.71,1.073,17.16,Low
Ural,35.34,0.896,24.48,Low
Arab Light,33.46,0.644,10.0,Low
Basrah Heavy,23.09,1.623,26.82,High
Arab Light,34.6,0.786,10.0,Low
Bonny Light,39.95,0.495,10.87,Low
Basrah Heavy,29.81,1.324,29.87,Low
Basrah Heavy,22.78,1.026,22.25,High
Basrah Heavy,23.57,1.217,29.78,High
Arab Light,36.1,0.597,10.0,Low
Arab Light,33.97,0.904,14.66,Medium
Ural,29.05,0.995,11.0,Low
Ural,32.48,0.847,14.55,Low
Bonny Light,41.97,0.499,21.75,Low
Ural,33.13,0.891,31.73,Low
Basrah Heavy,27.53,1.402,42.0,High
Arab Light,33.4,0.693,10.51,High
Basrah Heavy,25.68,1.136,10.0,Medium
Basrah Heavy,27.8,2.5,18.0,Medium
Bonny Light,39.09,0.517,10.0,Low
Ural,31.27,0.555,10.0,Low
Bonny Light,41.94,0.539,20.83,Low
Arab Light,36.43,0.648,17.18,Low
Arab Light,34.08,1.068,33.08,Low
Arab Light,37.81,0.719,18.42,Low
Basrah Heavy,21.76,2.144,25.23,High
Basrah Heavy,29.1,1.255,15.13,Medium
Arab Light,36.1,0.787,28.86,Low
Basrah Heavy,26.27,2.212,12.15,Medium
Bonny Light,44.87,0.134,10.0,Low
Basrah Heavy,20.63,1.158,23.79,High
Basrah Heavy,25.38,1.152,14.96,Medium
Ural,34.4,0.531,20.3,Low
Basrah Heavy,22.9,1.434,26.71,Medium
Bonny Light,41.94,0.39,16.62,Low
Ural,29.15,1.823,28.24,Medium
Basrah Heavy,25.77,1.466,29.17,High
Ural,31.25,1.078,26.01,Low
Arab Light,37.37,0.674,13.82,Low
Ural,29.84,0.866,13.48,High
Ural,30.47,1.655,25.01,Medium
Ural,31.16,1.783,34.75,Medium
Arab Light,33.72,0.657,10.0,Low
Basrah Heavy,21.64,2.5,27.59,High
Ural,34.03,0.778,10.9,Low
Bonny Light,42.55,0.337,10.0,Low
Arab Light,30.41,1.434,16.89,Medium
Ural,32.32,1.331,10.71,Low
Arab Light,34.51,0.93,10.0,Low
Ural,31.56,1.011,34.29,Medium
Bonny Light,37.13,1.184,10.96,Low
Basrah Heavy,28.23,1.089,22.58,Medium
Basrah Heavy,29.2,1.262,41.04,Medium
Arab Light,35.83,1.572,32.03,Low
Arab Light,33.34,0.644,18.37,Low
Arab Light,35.21,0.774,21.26,Low
Basrah Heavy,22.92,2.426,24.48,High
Arab Light,36.58,0.987,27.66,Low
Arab Light,37.2,1.068,36.17,Low
Arab Light,40.51,0.358,10.0,Low
Ural,33.23,1.158,10.0,Medium
Ural,36.45,0.75,22.82,Low
Arab Light,33.56,2.246,52.32,Medium
Ural,32.44,1.441,13.5,Medium
Arab Light,35.54,0.88,10.0,Low
Arab Light,34.65,1.044,15.65,Low
Arab Light,31.96,1.138,13.52,Medium
Basrah Heavy,25.87,1.923,26.01,High
Basrah Heavy,24.78,1.167,12.78,Medium
Arab Light,34.42,1.546,19.58,Low
Bonny Light,41.06,0.336,10.0,Low
Ural,28.79,1.417,10.0,Medium
Basrah Heavy,22.47,1.291,18.28,High
Arab Light,29.3,1.306,25.12,Medium
Basrah Heavy,25.32,2.178,17.39,High
Ural,30.74,0.656,39.54,Low
Ural,34.69,0.887,19.76,Low
Arab Light,38.91,0.406,10.0,Low
Arab Light,32.41,0.986,29.71,Low
Basrah Heavy,24.82,0.949,24.94,High
Arab Light,34.5,1.009,22.13,Low
Bonny Light,41.15,0.455,13.16,Low
Ural,28.37,1.748,19.17,Medium
Arab Light,32.36,1.677,25.47,Medium
Arab Light,33.72,1.007,17.95,Low
Basrah Heavy,23.99,2.223,38.7,Medium
Basrah Heavy,28.52,2.168,30.98,Medium
Basrah Heavy,25.19,1.122,15.29,Low
Arab Light,34.46,1.58,18.98,Medium
Bonny Light,39.93,0.599,10.0,Low
Arab Light,34.53,0.676,15.55,Low
Basrah Heavy,26.94,1.596,18.26,High
Basrah Heavy,25.46,1.494,12.63,Medium
Basrah Heavy,22.86,1.038,24.63,High
Ural,29.21,0.879,11.74,Low
Arab Light,31.53,2.029,23.2,Low
Ural,33.97,1.089,32.58,Low
Ural,35.09,1.539,30.41,Medium
Basrah Heavy,26.52,1.266,23.37,Medium
Arab Light,31.38,0.871,17.15,Low
Bonny Light,39.32,0.358,31.05,Low
Arab Light,37.31,1.086,15.62,Low
Basrah Heavy,24.58,1.834,18.13,High
Bonny Light,37.57,0.657,26.34,Medium
Bonny Light,41.51,0.383,15.76,Low
Arab Light,32.94,1.563,14.67,Medium
Arab Light,34.02,0.925,20.53,Low
Basrah Heavy,28.91,1.237,10.0,Medium
Ural,31.51,0.928,25.77,Low
Arab Light,37.42,0.665,15.72,Low
Basrah Heavy,26.6,1.769,26.38,High
Ural,34.34,0.587,16.93,Low
Bonny Light,39.61,0.645,17.96,Low
Ural,32.21,1.537,20.72,Low
Basrah Heavy,31.18,1.132,18.14,Low
Basrah Heavy,29.12,1.877,20.48,Medium
Bonny Light,36.13,1.358,21.33,Low
Bonny Light,41.99,0.651,13.23,Low
Arab Light,36.81,0.668,14.62,Medium
Arab Light,34.44,0.946,10.0,Medium
Arab Light,32.23,1.24,14.15,Low
Arab Light,37.38,0.653,10.0,Low
Basrah Heavy,22.95,1.419,18.96,High
Basrah Heavy,22.76,1.4,12.69,High
Basrah Heavy,21.13,2.5,17.39,High
Ural,31.73,1.029,18.55,Medium
Basrah Heavy,22.35,2.5,21.88,High
Basrah Heavy,24.64,1.169,13.58,Medium
Arab Light,32.85,1.922,27.42,Medium
Basrah Heavy,24.93,1.372,26.96,Medium
Basrah Heavy,22.38,1.761,19.75,Medium
Arab Light,29.51,0.67,23.65,Low
Arab Light,35.58,1.308,31.81,Low
Arab Light,35.58,1.411,19.3,Low
Bonny Light,43.13,0.265,10.0,Low
Basrah Heavy,25.96,2.263,22.08,Medium
Bonny Light,41.34,0.323,11.73,Low
Bonny Light,44.49,0.393,18.76,Low
Ural,35.17,0.824,27.05,Low
Arab Light,38.87,1.076,10.86,Low
Arab Light,31.27,1.266,18.6,Low
Arab Light,33.53,1.407,25.4,Low
Ural,28.67,2.046,14.2,Medium
Basrah Heavy,24.95,1.413,10.0,Medium
Bonny Light,41.86,0.478,11.52,Low
Arab Light,38.39,0.478,10.0,Low
Ural,29.03,1.174,11.03,Medium
Arab Light,30.77,2.341,21.39,Medium
Basrah Heavy,25.03,2.032,19.0,High
Arab Light,33.8,0.693,16.87,Low
Arab Light,35.84,1.536,10.0,Medium
Arab Light,37.79,0.852,17.59,Low
